id,camera_id,title,river,location,lat,lon,image_url,live_url,page_url,provider
japan-river-webcam-102049054,102049054,乙戸,乙戸川,茨城県土浦市乙戸南,36.0335,140.149666666,https://cam.river.go.jp/cam/now/102049054.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=102049054&ownCd=2049&sysCamId=2049054,茨城県・国土交通省 川の防災情報
japan-river-webcam-221063090,221063090,乙字ヶ滝,阿武隈川,須賀川市前田川,37.248055556,140.393055556,https://cam.river.go.jp/cam/now/cctv_070009_21C04654.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=221063090&ownCd=21063&sysCamId=21063088,福島河川国道事務所・国土交通省 川の防災情報
japan-river-webcam-222828001,222828001,乙女橋付近左岸20k500,緑川,熊本県上益城郡甲佐町,32.692325,130.787425,https://cam.river.go.jp/cam/now/cctv_430005_91C04126.jpg,https://www.youtube.com/channel/UCV8cS-sTne-cXgYaZqY558A,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=222828001&ownCd=22828&sysCamId=22828001,緑川ダム管理所・国土交通省 川の防災情報
japan-river-webcam-221259037,221259037,乙女水位（小山市）,思川,栃木県小山市,36.261941667,139.7475,https://cam.river.go.jp/cam/now/cctv_090000_31C03214.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=221259037&ownCd=21259&sysCamId=21259029,利根川上流河川事務所・国土交通省 川の防災情報
japan-river-webcam-111009057,111009057,乙千屋川（乙千屋橋）,乙千屋川,乙千屋,32.3086111,130.5098056,https://cam.river.go.jp/cam/now/111009057.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=111009057&ownCd=11009&sysCamId=11009057,熊本県・国土交通省 川の防災情報
japan-river-webcam-221781080,221781080,乙川合流点付近,矢作川,愛知県岡崎市,34.942877778,137.146561111,https://cam.river.go.jp/cam/now/cctv_230006_51C05197.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=221781080&ownCd=21781&sysCamId=21781080,豊橋河川事務所・国土交通省 川の防災情報
japan-river-webcam-222845008,222845008,乙房橋,大淀川,宮崎県都城市,31.766111111,131.0675,https://cam.river.go.jp/cam/now/cctv_450006_91C03677.jpg,https://www.youtube.com/channel/UC_8ds6S_qjqc89705G5wceA,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=222845008&ownCd=22845&sysCamId=22845008,宮崎河川国道事務所・国土交通省 川の防災情報
japan-river-webcam-106913125,106913125,恩智川治水緑地,第二寝屋川,大阪府八尾市福万寺町,34.650481,135.6227907,https://cam.river.go.jp/cam/now/106913125.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=106913125&ownCd=6913&sysCamId=6913125,大阪府・国土交通省 川の防災情報
japan-river-webcam-106913089,106913089,恩智川治水緑地,恩智川,大阪府東大阪市池島町７丁目,34.64995,135.62568055,https://cam.river.go.jp/cam/now/106913089.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=106913089&ownCd=6913&sysCamId=6913089,大阪府・国土交通省 川の防災情報
japan-river-webcam-103585091,103585091,恩田川　岩川合流点,恩田川,神奈川県横浜市緑区いぶき野,35.532992,139.51007,https://cam.river.go.jp/cam/now/103585091.jpg,,https://www.river.go.jp/kawabou/pc/tm?zm=13&fld=0&mapType=0&viewGrpStg=0&viewRd=1&viewRW=1&viewRiver=1&viewPoint=1&ext=0&itmkndCd=200&scamId=103585091&ownCd=3585&sysCamId=3585091,神奈川県・国土交通省 川の防災情報
